SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731946994.681283, -0.008978, -0.582689, -9.796624, -0.004930, 0.004453, -0.002236, , , 
1731946994.691239, -0.018705, -0.572813, -9.814730, -0.005409, 0.005544, -0.002572, , , 
1731946994.701220, -0.024690, -0.570269, -9.801263, -0.006485, 0.002578, -0.001171, , , 
1731946994.711229, -0.035913, -0.564583, -9.800515, -0.007083, 0.002447, -0.000607, , , 
1731946994.721275, -0.032172, -0.544531, -9.799168, -0.004946, 0.005122, -0.001095, , , 
1731946994.731211, -0.035314, -0.537349, -9.827450, -0.004766, 0.003247, -0.001850, , , 
1731946994.741323, -0.025289, -0.528670, -9.789591, -0.004147, 0.004015, -0.002270, , , 
1731946994.751219, -0.021847, -0.545878, -9.808745, -0.004111, 0.003620, -0.000432, , , 
1731946994.761259, -0.031125, -0.557699, -9.801712, -0.003700, 0.002895, 0.000024, , , 
1731946994.771230, -0.031873, -0.542586, -9.820716, -0.003054, 0.004113, -0.002941, , , 
1731946994.781282, -0.022595, -0.532261, -9.791986, -0.002958, 0.003817, 0.000077, , , 
1731946994.791265, -0.046687, -0.509067, -9.791387, -0.001648, 0.003912, -0.001626, , , 
1731946994.801215, -0.038457, -0.502333, -9.779566, -0.001293, 0.003572, -0.000807, , , 
1731946994.811216, -0.024989, -0.508020, -9.771186, -0.000179, 0.002830, -0.000908, , , 
1731946994.821221, -0.014066, -0.555754, -9.813683, -0.000045, 0.002491, 0.000752, , , 
1731946994.831253, -0.020500, -0.598102, -9.808595, 0.000333, 0.005255, -0.000511, , , 
1731946994.841290, -0.034267, -0.621295, -9.826552, -0.000364, 0.002332, -0.000466, , , 
1731946994.851218, -0.027234, -0.639551, -9.812785, -0.003761, 0.003981, -0.000753, , , 
1731946994.861220, -0.007482, -0.611270, -9.827749, -0.003342, 0.003346, -0.001829, , , 
1731946994.871284, -0.022296, -0.591966, -9.812336, -0.001756, 0.002272, -0.000406, , , 
1731946994.881266, -0.040701, -0.547524, -9.810391, -0.000886, 0.003959, -0.000327, , , 
1731946994.891262, -0.024391, -0.532860, -9.796774, -0.001127, 0.003540, -0.000733, , , 
1731946994.901222, -0.022296, -0.542736, -9.797372, -0.001560, 0.005125, 0.000234, , , 
1731946994.911214, -0.029628, -0.565929, -9.812037, -0.001576, 0.001906, -0.000141, , , 
1731946994.921221, -0.011821, -0.598999, -9.801862, -0.002641, 0.002227, -0.001026, , , 
1731946994.931234, -0.021847, -0.622343, -9.837176, -0.003574, 0.004058, -0.001119, , , 
1731946994.941134, -0.022745, -0.614412, -9.824457, -0.003973, 0.003588, 0.000892, , , 
1731946994.951279, -0.014365, -0.593612, -9.816526, -0.004553, 0.003461, -0.001958, , , 
1731946994.961224, -0.017957, -0.574309, -9.813683, -0.004237, 0.003929, -0.001073, , , 
1731946994.971253, -0.018854, -0.552312, -9.803059, -0.004438, 0.004188, -0.000506, , , 
1731946994.981285, -0.031723, -0.553360, -9.813384, -0.002916, 0.002850, -0.001271, , , 
1731946994.991270, -0.020949, -0.556652, -9.818621, -0.002098, 0.002978, 0.000285, , , 
1731946995.001235, -0.022745, -0.569521, -9.809643, -0.002374, 0.004777, -0.000174, , , 
1731946995.011212, -0.024092, -0.602740, -9.819818, -0.002490, 0.004715, -0.002009, , , 
1731946995.021286, -0.031424, -0.606182, -9.812935, -0.003212, 0.002070, -0.000671, , , 
1731946995.031290, -0.032621, -0.589871, -9.809493, -0.003626, 0.001805, -0.000263, , , 
1731946995.041274, -0.034866, -0.572065, -9.811738, -0.002091, 0.004168, -0.000551, , , 
1731946995.051226, -0.018106, -0.575357, -9.816227, -0.004729, 0.004758, -0.000546, , , 
1731946995.061214, -0.032771, -0.561889, -9.813533, -0.004494, 0.003244, -0.001619, , , 
1731946995.070918, -0.014664, -0.548721, -9.803358, -0.005280, 0.003369, -0.002479, , , 
1731946995.081291, -0.026785, -0.550068, -9.798570, -0.003210, 0.003581, -0.000333, , , 
1731946995.090683, -0.023044, -0.569521, -9.811738, -0.003058, 0.003050, 0.000094, , , 
1731946995.101229, -0.021997, -0.564283, -9.806650, -0.004247, 0.002404, -0.001235, , , 
1731946995.111243, -0.023643, -0.590470, -9.802759, -0.004070, 0.004060, -0.001234, , , 
1731946995.121222, -0.030077, -0.593313, -9.812486, -0.004303, 0.003550, 0.000385, , , 
1731946995.131230, -0.016909, -0.591218, -9.820117, -0.003725, 0.002702, -0.002040, , , 
1731946995.141234, -0.017807, -0.570718, -9.802759, -0.004499, 0.002491, -0.001187, , , 
1731946995.151218, -0.035464, -0.554557, -9.805004, -0.003300, 0.004061, -0.000507, , , 
1731946995.160921, -0.023493, -0.554707, -9.805902, -0.003517, 0.003497, -0.002314, , , 
1731946995.171233, -0.043395, -0.543035, -9.810989, -0.003588, 0.003349, -0.001511, , , 
1731946995.181227, -0.039205, -0.559794, -9.812187, -0.002756, 0.005112, 0.001486, , , 
1731946995.190377, -0.020201, -0.586430, -9.802311, -0.001389, 0.002726, -0.001888, , , 
1731946995.201238, -0.014515, -0.604386, -9.809643, -0.003267, 0.004079, -0.000573, , , 
1731946995.211221, -0.019453, -0.589722, -9.815030, -0.003981, 0.003904, -0.000716, , , 
1731946995.221223, -0.023643, -0.580145, -9.816975, -0.004874, 0.002455, -0.001638, , , 
1731946995.231294, -0.019453, -0.564583, -9.794380, -0.003745, 0.003377, -0.000334, , , 
1731946995.241234, -0.024541, -0.544082, -9.787945, -0.004214, 0.003199, -0.002571, , , 
1731946995.251234, -0.032022, -0.542885, -9.789591, -0.004648, 0.002390, -0.001948, , , 
