SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731955635.126171, 0.011672, 0.024391, -9.819668, -0.004324, 0.003281, -0.002483, , , 
1731955635.136216, 0.013318, 0.020051, -9.827899, -0.003109, 0.004842, -0.000672, , , 
1731955635.146141, 0.005537, 0.017657, -9.826402, -0.003894, 0.004449, -0.001102, , , 
1731955635.156187, 0.005088, 0.009577, -9.827001, -0.004703, 0.003771, 0.000716, , , 
1731955635.166152, 0.008380, 0.017657, -9.828796, -0.002268, 0.003571, -0.001226, , , 
1731955635.175948, 0.015413, 0.018405, -9.817574, -0.003285, 0.004537, -0.000744, , , 
1731955635.186145, 0.003741, 0.021249, -9.823409, -0.003596, 0.003512, -0.002135, , , 
1731955635.196144, 0.005088, 0.020051, -9.838224, -0.003714, 0.003725, -0.000791, , , 
1731955635.206034, 0.004788, 0.023493, -9.823559, -0.003988, 0.003605, -0.001933, , , 
1731955635.216149, 0.007931, 0.008978, -9.826701, -0.002788, 0.005477, -0.000138, , , 
1731955635.225754, 0.002095, 0.018555, -9.832088, -0.005310, 0.003400, -0.000251, , , 
1731955635.236168, 0.009128, 0.024241, -9.832537, -0.003037, 0.004261, 0.000179, , , 
1731955635.246144, 0.000599, 0.020051, -9.813533, -0.004707, 0.004410, -0.001277, , , 
1731955635.256147, 0.008829, 0.023194, -9.815928, -0.003639, 0.004347, -0.002351, , , 
1731955635.266152, 0.003741, 0.020351, -9.822362, -0.003601, 0.003807, -0.001080, , , 
1731955635.275659, 0.010026, 0.017358, -9.819519, -0.003336, 0.004644, -0.001401, , , 
1731955635.286215, 0.008380, 0.027683, -9.824607, -0.003309, 0.004277, -0.000031, , , 
1731955635.296144, 0.018106, 0.017807, -9.827001, -0.004186, 0.002193, -0.002615, , , 
1731955635.306147, 0.005836, 0.017208, -9.829395, -0.002535, 0.004019, -0.000523, , , 
1731955635.316144, 0.005537, 0.015113, -9.818771, -0.003866, 0.003590, -0.003821, , , 
1731955635.325641, 0.011672, 0.011073, -9.834632, -0.004167, 0.003067, -0.002228, , , 
1731955635.336142, 0.013318, 0.015712, -9.821913, -0.004340, 0.003495, -0.001239, , , 
1731955635.346171, 0.004489, 0.016610, -9.823559, -0.001835, 0.002996, -0.001213, , , 
1731955635.356139, 0.014365, 0.024541, -9.831639, -0.002723, 0.003867, -0.000813, , , 
1731955635.366203, 0.007183, 0.015263, -9.824756, -0.003490, 0.004817, -0.001366, , , 
1731955635.375562, 0.009128, 0.026187, -9.820566, -0.004531, 0.002529, -0.002767, , , 
1731955635.386167, 0.013018, 0.019453, -9.810989, -0.004933, 0.004279, -0.000753, , , 
1731955635.396180, 0.004489, 0.010026, -9.819519, -0.003256, 0.003946, -0.002153, , , 
1731955635.406216, 0.011372, 0.018106, -9.835530, -0.003348, 0.002334, 0.000312, , , 
1731955635.416146, 0.002993, 0.027683, -9.818771, -0.002899, 0.003711, -0.000894, , , 
1731955635.425409, 0.012869, 0.019603, -9.829096, -0.002148, 0.004483, -0.001201, , , 
1731955635.436151, 0.010325, 0.026486, -9.831789, -0.003402, 0.005075, -0.003001, , , 
1731955635.446217, 0.013168, 0.024092, -9.827899, -0.004267, 0.003327, -0.001713, , , 
1731955635.456141, 0.015862, 0.022895, -9.828647, -0.002837, 0.004676, 0.000126, , , 
1731955635.466143, 0.017208, 0.011821, -9.820117, -0.004198, 0.004605, 0.000185, , , 
1731955635.475317, 0.014515, 0.008679, -9.817873, -0.005058, 0.004623, 0.000986, , , 
1731955635.486140, 0.008829, 0.026187, -9.822661, -0.004635, 0.004003, -0.000472, , , 
1731955635.496166, 0.005237, 0.013168, -9.828347, -0.001980, 0.002563, -0.000612, , , 
1731955635.506158, 0.012121, 0.016011, -9.831340, -0.003858, 0.004556, -0.000146, , , 
1731955635.516148, 0.014964, 0.019902, -9.818621, -0.004309, 0.003302, -0.000280, , , 
1731955635.525300, 0.016011, 0.009577, -9.810241, -0.004827, 0.004670, -0.001298, , , 
1731955635.536143, 0.011372, 0.025588, -9.826103, -0.003995, 0.004906, -0.002049, , , 
