epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980851322,2024-11-07T13:00:51.322,0.865,0.229,-0.522,0.164
1730980851327,2024-11-07T13:00:51.327,0.870,0.217,-0.389,0.252
1730980851332,2024-11-07T13:00:51.332,0.875,0.381,-0.274,0.297
1730980851337,2024-11-07T13:00:51.337,0.880,0.518,-0.156,0.274
1730980851342,2024-11-07T13:00:51.342,0.885,0.503,-0.027,0.183
1730980851347,2024-11-07T13:00:51.347,0.890,0.606,-0.164,0.149
1730980851352,2024-11-07T13:00:51.352,0.895,0.518,-0.076,0.149
1730980851357,2024-11-07T13:00:51.357,0.900,0.629,0.038,0.141
1730980851362,2024-11-07T13:00:51.362,0.905,0.591,-0.057,0.259
1730980851367,2024-11-07T13:00:51.367,0.910,0.469,-0.160,0.252
1730980851372,2024-11-07T13:00:51.372,0.915,0.659,-0.221,0.343
1730980851377,2024-11-07T13:00:51.377,0.920,0.595,-0.118,0.194
1730980851382,2024-11-07T13:00:51.382,0.925,0.476,-0.271,0.244
1730980851387,2024-11-07T13:00:51.387,0.930,0.728,-0.080,0.217
1730980851392,2024-11-07T13:00:51.392,0.935,0.682,0.000,0.290
1730980851397,2024-11-07T13:00:51.397,0.940,0.454,-0.122,0.286
1730980851402,2024-11-07T13:00:51.402,0.945,0.602,0.000,0.164
1730980851407,2024-11-07T13:00:51.407,0.950,0.583,-0.187,0.248
1730980851412,2024-11-07T13:00:51.412,0.955,0.480,-0.240,0.236
1730980851417,2024-11-07T13:00:51.417,0.960,0.575,-0.217,0.244
1730980851422,2024-11-07T13:00:51.422,0.965,0.614,-0.309,0.225
1730980851427,2024-11-07T13:00:51.427,0.970,0.499,-0.427,0.354
1730980851432,2024-11-07T13:00:51.432,0.975,0.530,-0.175,0.339
1730980851437,2024-11-07T13:00:51.437,0.980,0.617,-0.168,0.354
1730980851442,2024-11-07T13:00:51.442,0.985,0.621,-0.080,0.313
1730980851447,2024-11-07T13:00:51.447,0.990,0.652,-0.103,0.343
1730980851452,2024-11-07T13:00:51.452,0.995,0.694,0.000,0.225
1730980851457,2024-11-07T13:00:51.457,1.000,0.598,0.069,0.179
1730980851462,2024-11-07T13:00:51.462,1.005,0.655,-0.091,0.221
1730980851467,2024-11-07T13:00:51.467,1.010,0.732,-0.065,0.267
1730980851472,2024-11-07T13:00:51.472,1.015,0.678,-0.126,0.240
1730980851477,2024-11-07T13:00:51.477,1.020,0.438,-0.145,0.164
1730980851482,2024-11-07T13:00:51.482,1.025,0.606,-0.084,0.202
1730980851487,2024-11-07T13:00:51.487,1.030,0.610,-0.122,0.213
1730980851492,2024-11-07T13:00:51.492,1.035,0.625,-0.171,0.248
1730980851497,2024-11-07T13:00:51.497,1.040,0.595,-0.206,0.175
1730980851502,2024-11-07T13:00:51.502,1.045,0.499,-0.236,0.221
1730980851507,2024-11-07T13:00:51.507,1.050,0.469,-0.252,0.171
1730980851512,2024-11-07T13:00:51.512,1.055,0.530,-0.126,0.240
1730980851517,2024-11-07T13:00:51.517,1.060,0.553,-0.179,0.244
1730980851522,2024-11-07T13:00:51.522,1.065,0.530,-0.118,0.370
1730980851527,2024-11-07T13:00:51.527,1.070,0.575,0.023,0.206
1730980851532,2024-11-07T13:00:51.532,1.075,0.716,0.069,0.225
1730980851537,2024-11-07T13:00:51.537,1.080,0.644,-0.027,0.297
1730980851542,2024-11-07T13:00:51.542,1.085,0.522,-0.160,0.175
1730980851547,2024-11-07T13:00:51.547,1.090,0.541,-0.050,0.145
1730980851552,2024-11-07T13:00:51.552,1.095,0.602,-0.042,0.347
1730980851557,2024-11-07T13:00:51.557,1.100,0.549,-0.145,0.232
1730980851562,2024-11-07T13:00:51.562,1.105,0.625,-0.202,0.313
1730980851567,2024-11-07T13:00:51.567,1.110,0.511,-0.244,0.229
1730980851572,2024-11-07T13:00:51.572,1.115,0.522,-0.343,0.252
1730980851577,2024-11-07T13:00:51.577,1.120,0.568,-0.210,0.267
1730980851582,2024-11-07T13:00:51.582,1.125,0.545,-0.160,0.221
1730980851587,2024-11-07T13:00:51.587,1.130,0.545,-0.263,0.213
1730980851592,2024-11-07T13:00:51.592,1.135,0.526,-0.099,0.301
1730980851597,2024-11-07T13:00:51.597,1.140,0.488,0.000,0.236
1730980851602,2024-11-07T13:00:51.602,1.145,0.568,0.011,0.274
1730980851607,2024-11-07T13:00:51.607,1.150,0.694,-0.019,0.358
1730980851612,2024-11-07T13:00:51.612,1.155,0.617,-0.091,0.255
1730980851617,2024-11-07T13:00:51.617,1.160,0.511,-0.107,0.210
1730980851622,2024-11-07T13:00:51.622,1.165,0.434,-0.019,0.202
1730980851627,2024-11-07T13:00:51.627,1.170,0.534,-0.126,0.244
1730980851632,2024-11-07T13:00:51.632,1.175,0.652,-0.103,0.114
1730980851637,2024-11-07T13:00:51.637,1.180,0.636,-0.133,0.175
1730980851642,2024-11-07T13:00:51.642,1.185,0.545,-0.187,0.343
1730980851647,2024-11-07T13:00:51.647,1.190,0.595,-0.141,0.316
1730980851652,2024-11-07T13:00:51.652,1.195,0.587,-0.160,0.206
1730980851657,2024-11-07T13:00:51.657,1.200,0.602,-0.057,0.152
1730980851662,2024-11-07T13:00:51.662,1.205,0.659,-0.061,0.202
1730980851667,2024-11-07T13:00:51.667,1.210,0.640,-0.095,0.335
1730980851672,2024-11-07T13:00:51.672,1.215,0.568,-0.088,0.309
1730980851677,2024-11-07T13:00:51.677,1.220,0.545,-0.118,0.225
1730980851682,2024-11-07T13:00:51.682,1.225,0.583,-0.030,0.271
1730980851687,2024-11-07T13:00:51.687,1.230,0.545,-0.111,0.274
1730980851692,2024-11-07T13:00:51.692,1.235,0.686,-0.168,0.183
1730980851697,2024-11-07T13:00:51.697,1.240,0.762,0.095,0.232
1730980851702,2024-11-07T13:00:51.702,1.245,0.568,0.076,0.259
1730980851707,2024-11-07T13:00:51.707,1.250,0.335,-0.152,0.278
1730980851712,2024-11-07T13:00:51.712,1.255,0.747,-0.072,0.206
1730980851717,2024-11-07T13:00:51.717,1.260,0.766,0.152,0.210
1730980851722,2024-11-07T13:00:51.722,1.265,0.446,-0.396,0.217
1730980851727,2024-11-07T13:00:51.727,1.270,0.579,-0.088,0.252
1730980851732,2024-11-07T13:00:51.732,1.275,1.010,0.050,0.297
1730980851737,2024-11-07T13:00:51.737,1.280,0.572,-0.114,0.297
1730980851742,2024-11-07T13:00:51.742,1.285,0.404,-0.366,0.221
1730980851747,2024-11-07T13:00:51.747,1.290,0.377,-0.084,0.122
1730980851752,2024-11-07T13:00:51.752,1.295,0.225,-0.118,0.232
1730980851757,2024-11-07T13:00:51.757,1.300,0.579,-0.305,0.419
1730980851762,2024-11-07T13:00:51.762,1.305,0.972,0.042,0.305
1730980851767,2024-11-07T13:00:51.767,1.310,0.659,-0.030,0.263
1730980851772,2024-11-07T13:00:51.772,1.315,0.648,-0.183,0.309
1730980851777,2024-11-07T13:00:51.777,1.320,0.690,-0.030,0.282
1730980851782,2024-11-07T13:00:51.782,1.325,0.370,-0.263,0.309
1730980851787,2024-11-07T13:00:51.787,1.330,0.412,-0.145,0.229
1730980851792,2024-11-07T13:00:51.792,1.335,1.395,0.313,0.194
1730980851797,2024-11-07T13:00:51.797,1.340,0.579,0.309,0.194
1730980851802,2024-11-07T13:00:51.802,1.345,0.042,-0.450,0.316
1730980851807,2024-11-07T13:00:51.807,1.350,1.159,0.213,0.149
1730980851812,2024-11-07T13:00:51.812,1.355,1.471,0.541,0.171
1730980851817,2024-11-07T13:00:51.817,1.360,-0.122,-0.358,0.377
1730980851822,2024-11-07T13:00:51.822,1.365,0.171,-0.522,0.248
1730980851827,2024-11-07T13:00:51.827,1.370,1.147,0.423,0.160
1730980851832,2024-11-07T13:00:51.832,1.375,0.194,-0.389,0.156
1730980851837,2024-11-07T13:00:51.837,1.380,-0.030,-1.018,0.236
1730980851842,2024-11-07T13:00:51.842,1.385,0.781,0.137,0.263
1730980851847,2024-11-07T13:00:51.847,1.390,0.838,-0.053,0.175
1730980851852,2024-11-07T13:00:51.852,1.395,0.133,-0.602,0.248
1730980851857,2024-11-07T13:00:51.857,1.400,0.610,-0.111,0.225
1730980851862,2024-11-07T13:00:51.862,1.405,0.758,0.286,0.278
1730980851867,2024-11-07T13:00:51.867,1.410,0.469,-0.126,0.206
1730980851872,2024-11-07T13:00:51.872,1.415,0.545,0.069,0.248
1730980851877,2024-11-07T13:00:51.877,1.420,0.998,0.202,0.404
1730980851882,2024-11-07T13:00:51.882,1.425,0.766,-0.034,0.373
